id,title,food_category_id,description,logo_url,address,working_hours,points,rating,min_order,created_at,updated_at
1,Chicken House ,1,"",logo/chickenHouse-logo.png,ΑΘΗΝΩΝ 29,"",0,,5,2013-11-02 16:18:10.629949,2013-11-02 16:18:10.629949
2,AMERICAN PIZZA,2,"",logo/american1-logo.png,ΘΕΡΜΟΠΥΛΏΝ 44,"ΔΕΥΤΕΡΑ - ΣΑΒΒΑΤΟ 11.00 - 00.30 , ΚΥΡΙΑΚΗ  12.00- 00.30",0,,5,2013-11-02 16:30:35.096587,2013-11-02 16:30:35.096587
5,Ραχιότοικον,1,"",logo/raxiotikon-logo.png,ΕΛΕΥΘΕΡΙΑΣ 6 & ΣΚΛΗΒΑΝΙΩΤΟΥ,12.00 - 01.00,0,,5,2013-11-04 16:51:35.540844,2013-11-04 16:53:45.839631
6,Posto,1,"",logo/posto-logo.png,ΝΑΥΑΡΙΝΟΥ 2 ,"ΔΕΥΤΕΡΑ - ΣΑΒΒΑΤΟ 12.00 - 01.00 , ΚΥΡΙΑΚΗ  13.00- 01.00",0,,5,2013-11-04 16:58:52.00873,2013-11-04 16:58:52.00873
4,LA PIAZZA ,2,"",logo/lapiazza1-logo.png,ΔΙΑΚΟΥ 3,13.00 - 00.30,0,,5,2013-11-04 16:44:35.107,2013-11-04 16:59:34.415236
3,Gustosa,2,"",logo/gustosa1-logo.png,ΔΙΑΚΟΥ 10,13.00 - 01.00,0,,5,2013-11-04 16:40:53.778257,2013-11-04 16:59:49.948894
8,Buddy's,2,"",logo/Buddys-logo.png,ΑΠΟΣΤΟΛΟΥ ΚΟΥΝΟΥΠΗ 7 (Πλ. Λαού),12.00 - 03.00,0,,5,2013-11-04 17:09:13.145163,2013-11-04 17:09:13.145163
9,Ο ΓΥΡΟΣ ΤΗΣ ΠΛΑΤΕΙΑΣ,1,"",logo/gyrosplateias-logo.png,ΠΛΑΤΕΙΑ ΠΑΡΚΟΥ 9,12.00 - 01.00,0,,5,2013-11-04 17:14:05.879036,2013-11-04 17:14:05.879036
10,πι & φι,1,"",logo/pikfi-logo.png,ΘΕΡΜΟΠΥΛΏΝ 76,12.00 - 01.00,0,,5,2013-11-04 17:17:22.791972,2013-11-04 17:17:22.791972
11,Deliziosa Pizza,2,"",logo/deliziosa-logo.png,ΠΑΠΑΠΟΣΤΟΛΟΥ 33,"ΔΕΥΤΕΡΑ - ΣΑΒΒΑΤΟ 12.30 - 24.00 , ΚΥΡΙΑΚΗ  18.00- 24.00",0,,5,2013-11-04 17:21:32.925737,2013-11-04 17:21:32.925737
