id,title,created_at,updated_at
1,Rock Bar,2013-11-02 13:23:09.307441,2013-11-02 13:23:09.307441
2,Cafe / Bar,2013-11-02 14:25:28.448478,2013-11-02 14:25:28.448478
3,Bowling,2013-11-02 14:25:36.876163,2013-11-02 14:25:36.876163
4,After ,2013-11-02 14:25:53.433822,2013-11-02 14:25:53.433822
5,Ελληνικού Τύπου  ,2013-11-02 14:26:39.416972,2013-11-02 14:26:39.416972
6,Μπιλιάρδο  ,2013-11-02 14:26:56.826244,2013-11-02 14:26:56.826244
7,Επιτραπέζια  ,2013-11-02 14:27:09.47464,2013-11-02 14:27:09.47464
8,Μπυραρία ,2013-11-02 14:27:36.227015,2013-11-02 14:27:36.227015
9,Ποδόσφαιρο ,2013-11-02 14:46:45.198978,2013-11-02 14:48:42.019155
10,Basket ,2013-11-02 14:48:53.319935,2013-11-02 14:48:53.319935
11,Tennis ,2013-11-02 14:49:28.949626,2013-11-02 14:49:28.949626
12,Alternative Bar ,2013-11-02 14:50:37.678367,2013-11-02 14:50:37.678367
13,Κινηματογράφος ,2013-11-02 14:52:38.945126,2013-11-02 14:52:38.945126
14,Θέατρο ,2013-11-02 14:52:49.206351,2013-11-02 14:52:49.206351
15,Ζωντανή Σκηνή ,2013-11-02 14:53:15.152722,2013-11-02 14:53:15.152722
16,Delivery,2013-11-02 16:06:21.78311,2013-11-02 16:06:21.78311
17,Video Club,2013-11-05 18:38:47.323969,2013-11-05 18:38:47.323969
