id,title,created_at,updated_at
6,Πίτσα ,2013-11-02 14:23:30.554913,2013-11-02 14:54:03.71962
7,Sandwitch ,2013-11-02 14:54:35.464024,2013-11-02 14:54:35.464024
8,Κρέπα ,2013-11-02 14:54:48.442182,2013-11-02 14:54:48.442182
5,Γλυκά ,2013-11-02 14:23:20.014984,2013-11-02 14:56:14.886116
9,Σαλάτες,2013-11-02 14:55:08.837026,2013-11-02 14:56:29.017429
4,Παγωτό,2013-11-02 14:22:36.655673,2013-11-02 14:57:07.724763
3,Donuts,2013-11-02 14:21:43.742647,2013-11-02 14:57:38.042122
2,Μακαρονάδες,2013-11-02 14:21:33.433776,2013-11-02 14:58:30.758682
1,Burger,2013-11-02 14:21:15.183249,2013-11-02 14:59:09.72044
10,Hot Dog,2013-11-02 14:59:32.69278,2013-11-02 14:59:32.69278
11,Grill,2013-11-04 16:45:06.036515,2013-11-04 16:45:06.036515
12,"Ουζερί , Μεζεδοπωλείο",2013-11-05 18:40:33.134127,2013-11-05 18:40:33.134127
