id,title,fun_category_id,description,logo_url,address,working_hours,points,rating,created_at,updated_at
1,ROOM ,1,"",logo/room-logo.png,ΠΛ. ΕΛΕΥΘΕΡΙΑΣ 11,"",0,-3,2013-11-02 13:16:17.1485,2013-11-02 15:53:35.809099
2,PEOPLE,2,"",logo/people-logo1.png,ΠΛ. ΕΛΕΥΘΕΡΙΑΣ 8,"",0,,2013-11-02 15:58:02.142388,2013-11-02 15:58:02.142388
3,CENTRAL,2,"",logo/central-logo.png,ΠΛ. ΕΛΕΥΘΕΡΙΑΣ 10,"",0,,2013-11-02 16:02:13.208497,2013-11-02 16:02:13.208497
4,Focus ,2,"",logo/focus-logo.png,ΑΘΗΝΩΝ 94 & ΔΑΜΑΣΤΑΣ,7π.μ - 8μ.μ,0,,2013-11-02 16:08:17.937896,2013-11-02 16:08:17.937896
5,Flocafe,2,"",logo/flocafe-logo.png,ΠΛ. ΕΛΕΥΘΕΡΙΑΣ 3,"",0,,2013-11-02 16:12:33.458551,2013-11-02 16:12:33.458551
6,Γ. ΔΡΟΣΟΣ & ΥΙΟΙ,2,"",logo/no-logo.png,ΠΛ. ΕΛΕΥΘΕΡΙΑΣ 3,"",0,,2013-11-05 14:18:51.584414,2013-11-05 14:18:51.584414
7,Seven Spot,4,"",logo/no-logo.png,ΠΛ. ΛΑΟΥ & ΚΟΛΟΚΟΤΡΩΝΗ,"",0,,2013-11-05 18:38:12.278687,2013-11-05 18:38:12.278687
8,Web Zone,6,"",logo/no-logo.png,ΑΘΗΝΩΝ 39,"",0,,2013-11-05 19:05:15.940502,2013-11-05 19:05:15.940502
9,inSpot,6,"",logo/no-logo.png,ΥΨΗΛΑΝΤΟΥ 17 & ΤΣΙΡΙΜΩΚΟΥ,"",0,,2013-11-05 19:07:35.051956,2013-11-05 19:07:35.051956
10,Plaza Cafe,5,"",logo/no-logo.png,Δίπλα στα Τ.Ε.Ι,"",0,,2013-11-05 19:13:50.852137,2013-11-05 19:14:51.494083
11,VENEZIA ,2,"",logo/no-logo.png,ΔΙΑΚΟΥ 6,"",0,,2013-11-06 18:15:41.884794,2013-11-06 18:15:41.884794
12,EYENET F.C,6,"",logo/no-logo.png,ΜΗΡΜΗΔΟΝΩΝ & ΑΓ. ΒΑΡΒΑΡΑΣ,24 hours,0,,2013-11-06 18:20:40.347083,2013-11-06 18:20:40.347083
13,DieTro,2,"",logo/no-logo.png,Ρήγα Φεραίου 2,Ώρες Λειτουργίας Delivery 07:00π.μ. - 00:00μ.μ,0,,2013-11-06 18:26:11.809806,2013-11-06 18:26:11.809806
14,DOLCE ,2,"",logo/no-logo.png,ΠΛ. ΔΙΑΚΟΥ 1,"",0,,2013-11-06 18:32:28.043229,2013-11-06 18:32:28.043229
15,Παρασκήνιο,2,"",logo/no-logo.png,ΠΑΝΟΥΡΓΙΑ 24,"",0,,2013-11-06 18:34:29.327581,2013-11-06 18:34:29.327581
16,CAFE CUPPA,2,"",logo/no-logo.png,ΚΑΛΥΒΑ ΜΠΑΚΟΓΙΑΝΝΗ 7,"",0,,2013-11-06 18:38:43.356712,2013-11-06 18:38:43.356712
17,SPLENDID Time ,2,"",logo/no-logo.png,"","",0,,2013-11-06 18:51:02.214973,2013-11-06 18:51:02.214973
